timestamp,aqi,co,no,no2,o3,pm10,pm25,so2,nh3,temperature,humidity,wind_speed,pressure
2025-12-01 00:00:00+00:00,135,196.42,0.0,0.27,132.39,85.11,49.4,5.27,0.55,17.5,64.0,6.7,1013.8
2025-12-01 01:00:00+00:00,125,184.57,0.0,0.22,128.17,80.23,45.32,4.31,0.47,16.6,69.0,6.7,1014.0
2025-12-01 02:00:00+00:00,116,174.47,0.0,0.18,124.41,76.43,41.76,3.5,0.4,16.0,72.0,6.0,1014.6
2025-12-01 03:00:00+00:00,110,166.85,0.0,0.19,121.38,74.45,39.07,2.83,0.34,16.2,72.0,6.3,1015.2
2025-12-01 04:00:00+00:00,105,161.61,0.01,0.2,118.2,73.74,37.24,2.34,0.29,18.9,63.0,4.4,1015.5
2025-12-01 05:00:00+00:00,103,158.69,0.01,0.17,115.96,74.04,36.17,1.97,0.26,22.3,50.0,4.3,1015.7
2025-12-01 06:00:00+00:00,101,156.67,0.02,0.14,113.64,74.91,35.52,1.65,0.24,25.1,35.0,7.2,1015.2
2025-12-01 07:00:00+00:00,99,155.22,0.01,0.12,111.14,76.1,35.01,1.36,0.23,26.4,28.0,8.8,1014.5
2025-12-01 08:00:00+00:00,98,153.94,0.01,0.11,108.51,77.37,34.55,1.1,0.22,27.0,24.0,10.3,1013.5
2025-12-01 09:00:00+00:00,97,152.48,0.01,0.1,106.24,78.36,34.09,0.9,0.21,27.1,20.0,10.6,1012.4
2025-12-01 10:00:00+00:00,96,151.73,0.01,0.11,104.62,79.29,33.57,0.72,0.19,27.1,17.0,10.1,1011.9
2025-12-01 11:00:00+00:00,94,150.49,0.01,0.12,103.26,79.45,32.76,0.58,0.18,26.6,17.0,9.9,1011.8
2025-12-01 12:00:00+00:00,92,148.36,0.01,0.15,102.64,78.13,31.63,0.48,0.16,25.5,17.0,9.5,1011.6
2025-12-01 13:00:00+00:00,89,146.24,0.0,0.17,102.92,75.64,30.3,0.41,0.13,23.7,29.0,8.8,1012.2
2025-12-01 14:00:00+00:00,86,144.41,0.0,0.18,103.33,72.68,28.95,0.37,0.1,22.5,41.0,6.9,1012.8
2025-12-01 15:00:00+00:00,83,141.87,0.0,0.18,104.37,68.45,27.33,0.36,0.07,21.6,48.0,5.8,1013.3
2025-12-01 16:00:00+00:00,79,138.94,0.0,0.18,105.8,63.37,25.54,0.37,0.04,21.2,50.0,3.3,1013.8
2025-12-01 17:00:00+00:00,76,136.58,0.0,0.18,107.74,58.58,23.99,0.42,0.02,20.5,58.0,1.2,1013.9
2025-12-01 18:00:00+00:00,73,134.37,0.0,0.19,110.12,54.48,22.7,0.51,0.01,19.5,53.0,5.7,1014.4
2025-12-01 19:00:00+00:00,71,132.67,0.0,0.2,112.63,51.61,21.83,0.62,0.0,18.5,56.0,3.4,1014.1
2025-12-01 20:00:00+00:00,71,131.42,0.0,0.21,115.24,50.49,21.5,0.77,0.0,18.2,56.0,2.8,1013.7
2025-12-01 21:00:00+00:00,71,130.41,0.0,0.23,117.44,50.82,21.59,0.95,0.0,18.0,55.0,7.2,1013.6
2025-12-01 22:00:00+00:00,71,129.58,0.0,0.27,119.89,51.99,21.82,1.16,0.0,17.4,52.0,7.4,1013.2
2025-12-01 23:00:00+00:00,71,128.3,0.0,0.3,121.03,52.12,21.61,1.34,0.0,17.1,44.0,8.1,1013.1
